"Time"	"1 untitled"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	1
0.040000	2
0.060000	3
0.080000	4
0.100000	3
0.120000	6
0.140000	6
0.160000	6
0.180000	6
0.200000	4
0.220000	5
0.240000	4
0.260000	5
0.280000	4
0.300000	5
0.320000	4
0.340000	4
0.360000	5
0.380000	3
0.400000	5
0.420000	4
0.440000	5
0.460000	4
0.480000	3
0.500000	5
0.520000	4
0.540000	4
0.560000	4
0.580000	3
0.600000	5
0.620000	3
0.640000	4
0.660000	5
0.680000	3
0.700000	4
0.720000	4
0.740000	4
0.760000	3
0.780000	5
0.800000	3
0.820000	4
0.840000	3
0.860000	5
0.880000	3
0.900000	4
0.920000	4
0.940000	4
0.960000	3
0.980000	3
1.000000	5
1.020000	3
1.040000	4
1.060000	3
1.080000	4
1.100000	4
1.120000	3
1.140000	4
1.160000	3
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
